"# @inbook{heinrich1995x, author={Heinrich, Kurt F J}, chapter={{An Evaluation of Electron Probe Methods}}, title={{X-Ray Spectrometry in Electron Beam Instruments}}, editor={Goldstein, Joseph and Newbury, Dale E and Williams, David B}, year={1995}, publisher={Plenum Press} }",,,,,,,,,
"# Scanned from Heinrich's original manuscript by John Fournelle and digitized by Aurelien Moy - May 2020",,,,,,,,,
"# Item 909 is missing from both the author's manuscript and the published document",,,,,,,,,
"# The sources of data used in the compilation are as follows:",,,,,,,,,
"# 1. Bastin’s measurements of borides: G. F. Bastin and H. J. M. Heijligers, Report ISBN 90-68 19-006—7 CIP, University for Physical Chemistry, Eindhoven, Netherlands.",,,,,,,,,
"# 2. Goldstein et al. measurements: J. I. Goldstein, F. J. Majeske, and H. Yakowitz, Adv. X-Ray Anal. 10, 431 (1967).",,,,,,,,,
"# 3. J. Colby and D. K. Conley’s measurements: J. Colby and D. K. Conley, in: X-Ray Optics and Microanalysis, (Castaing et al., eds.), Hermann, Paris, p. 263 (1966).",,,,,,,,,
"# 4. NBS 1 measurements: K. F. J. Heinrich et al., NBS Special Publication 260—28 (1971).",,,,,,,,,
"# 5. Pouchou’s compilation: J.-L. Pouchou, in: Electron Probe Quantitation (K. F. J. Heinrich and D. E. Newbury, eds.) Plenum, New York, p. 64 (1991).",,,,,,,,,
"# 6. Sewell et al. compilation: D. A. Sewell, G. Love and V. D. Scott, J. Phys. D: Appl. Phys. 18, 1245 (1985).",,,,,,,,,
"# 7. Bastin Data Basis: personal communication (1990).",,,,,,,,,
"# 8. NBS 2 measurements: R. Marinenko (NBS) and Hiroyoshi Konuma (Jap. Nat. Res. Inst. of Police Science, Tokyo), 1986 (unpublished).",,,,,,,,,
"# 9. P. F. Hlava’s (Sandia) measurements: personal communication. See also: A. D. Romig Jr. et al., in: Microbeam Analysis—1987 (R. H. Geiss, ed.) San Francisco Press, San Francisco, p. 15 (1987)",,,,,,,,,
"# 10. Schreiber’s measurements: T. P. Schreiber and R. A. Waldo, in: Proceedings of ICXOM11, (J.D. Brown and R. H. Packwood, eds.), U. London, Ontario, Canada, p.265 (1986).",,,,,,,,,
"# 11. Bastin compilation 2: personal communication (1990)",,,,,,,,,
"# Line: Ka=1, Kb=2, La1=3, Lb1=4, Ma1=8, Mb1=9",,,,,,,,,
"# Items 857 to 860 appear to be in error by a factor of 0.1 in Heinrich's document. Otherwise the data seems reliable.",,,,,,,,,
Item,Line,Z1,Z2,C1,E0,Ec,TOA,Kexp,Origin
1,1,5,6,0.782,4000,188,40,0.721,7
2,1,5,6,0.7981,4000,188,40,0.7768,1
3,1,5,6,0.7981,6000,188,40,0.7754,1
4,1,5,6,0.7981,8000,188,40,0.7471,1
5,1,5,6,0.7981,10000,188,40,0.7309,1
6,1,5,6,0.7981,12000,188,40,0.7132,1
7,1,5,6,0.7981,15000,188,40,0.6853,1
8,1,5,6,0.7981,20000,188,40,0.6544,1
9,1,5,6,0.7981,25000,188,40,0.6516,1
10,1,5,6,0.7981,30000,188,40,0.6574,1
11,1,5,7,0.4348,10000,188,40,0.236,1
12,1,5,7,0.4348,12000,188,40,0.223,1
13,1,5,7,0.4348,15000,188,40,0.208,1
14,1,5,7,0.4348,20000,188,40,0.1853,1
15,1,5,7,0.4348,25000,188,40,0.1725,1
16,1,5,7,0.4348,30000,188,40,0.165,1
17,1,5,13,0.4449,4000,188,40,0.1872,1
18,1,5,13,0.4449,6000,188,40,0.1057,1
19,1,5,13,0.4449,8000,188,40,0.0648,1
20,1,5,13,0.4449,10000,188,40,0.0501,1
21,1,5,13,0.4449,12000,188,40,0.0396,1
22,1,5,13,0.4449,15000,188,40,0.0342,1
23,1,5,13,0.8278,4000,188,40,0.6077,1
24,1,5,13,0.8278,6000,188,40,0.4492,1
25,1,5,13,0.8278,8000,188,40,0.3391,1
26,1,5,13,0.8278,10000,188,40,0.2679,1
27,1,5,13,0.8278,12000,188,40,0.2244,1
28,1,5,13,0.8278,15000,188,40,0.1864,1
29,1,5,13,0.8278,20000,188,40,0.1684,1
30,1,5,13,0.8278,25000,188,40,0.1638,1
31,1,5,13,0.8278,30000,188,40,0.1694,1
32,1,5,14,0.522,4000,188,40,0.2171,1
33,1,5,14,0.522,6000,188,40,0.1131,1
34,1,5,14,0.522,8000,188,40,0.0703,1
35,1,5,14,0.522,10000,188,40,0.0544,1
36,1,5,14,0.522,12000,188,40,0.0445,1
37,1,5,14,0.522,15000,188,40,0.0384,1
38,1,5,14,0.6857,4000,188,40,0.3541,1
39,1,5,14,0.6857,6000,188,40,0.2113,1
40,1,5,14,0.6857,8000,188,40,0.1401,1
41,1,5,14,0.6857,10000,188,40,0.1071,1
42,1,5,14,0.6857,12000,188,40,0.085,1
43,1,5,14,0.6857,15000,188,40,0.0713,1
44,1,5,22,0.1678,4000,188,40,0.1623,1
45,1,5,22,0.1678,6000,188,40,0.1242,1
46,1,5,22,0.1678,8000,188,40,0.099,1
47,1,5,22,0.1678,10000,188,40,0.0795,1
48,1,5,22,0.1678,12000,188,40,0.0699,1
49,1,5,22,0.1678,15000,188,40,0.0603,1
50,1,5,22,0.1678,20000,188,40,0.0542,1
51,1,5,22,0.1678,25000,188,40,0.0552,1
52,1,5,22,0.1678,30000,188,40,0.0578,1
53,1,5,22,0.3007,4000,188,40,0.2956,1
54,1,5,22,0.3007,6000,188,40,0.2244,1
55,1,5,22,0.3007,8000,188,40,0.1807,1
56,1,5,22,0.3007,10000,188,40,0.1498,1
57,1,5,22,0.3007,12000,188,40,0.1279,1
58,1,5,22,0.3007,15000,188,40,0.1158,1
59,1,5,22,0.3007,20000,188,40,0.1055,1
60,1,5,22,0.3007,25000,188,40,0.1063,1
61,1,5,22,0.284,30000,188,40,0.109,1
62,1,5,23,0.284,4000,188,40,0.2583,1
63,1,5,23,0.284,6000,188,40,0.198,1
64,1,5,23,0.284,8000,188,40,0.1484,1
65,1,5,23,0.284,10000,188,40,0.1235,1
66,1,5,23,0.284,12000,188,40,0.1058,1
67,1,5,23,0.284,15000,188,40,0.0865,1
68,1,5,24,0.168,4000,188,40,0.1387,1
69,1,5,24,0.168,6000,188,40,0.0991,1
70,1,5,24,0.168,8000,188,40,0.0747,1
71,1,5,24,0.168,10000,188,40,0.0611,1
72,1,5,24,0.168,12000,188,40,0.0512,1
73,1,5,24,0.168,15000,188,40,0.0444,1
74,1,5,24,0.2731,4000,188,40,0.2301,1
75,1,5,24,0.2731,6000,188,40,0.1682,1
76,1,5,24,0.2731,8000,188,40,0.1268,1
77,1,5,24,0.2731,10000,188,40,0.1037,1
78,1,5,24,0.2731,12000,188,40,0.0891,1
79,1,5,24,0.2731,15000,188,40,0.0767,1
